phone_id,country_id,country,currency,price_local,price_usd,dubai_avg_usd,dubai_diff_abs,dubai_diff_pct,price_rank
68,11,Jordan,JOD,1090.0,1536.8999999999999,562.8224000000001,974.0775999999997,173.0701549902775,3
67,11,Jordan,JOD,1240.0,1748.3999999999999,673.4448,1074.9551999999999,159.62038759524165,3
44,11,Jordan,JOD,790.0,1113.8999999999999,523.168551724138,590.7314482758619,112.9141738984627,3
69,11,Jordan,JOD,940.0,1325.3999999999999,644.2229333333333,681.1770666666665,105.73623375096652,3
40,11,Jordan,JOD,1090.0,1536.8999999999999,937.8968000000001,599.0031999999998,63.8666428971716,3
10,6,Kuwait,KWD,279.9,909.675,815.7280000000001,93.94699999999989,11.516951729007694,1
23,1,United Arab Emirates,AED,2999.0,815.7280000000001,815.7280000000001,0.0,0.0,1
1080,1,United Arab Emirates,AED,3299.0,897.3280000000001,897.3280000000001,0.0,0.0,1
38,12,Morocco,MAD,4500.0,445.5,1077.2781395348838,-631.7781395348838,-58.645777385555675,2
1082,12,Morocco,MAD,4600.0,455.40000000000003,1179.5384615384617,-724.1384615384616,-61.39167862266858,2
1084,12,Morocco,MAD,3600.0,356.40000000000003,928.392275862069,-571.9922758620689,-61.61105501776597,2
1083,12,Morocco,MAD,4100.0,405.90000000000003,1139.2095135135135,-733.3095135135134,-64.37003069363982,2
1085,12,Morocco,MAD,3300.0,326.7,946.9539310344828,-620.2539310344828,-65.49990561387685,2
39,12,Morocco,MAD,3500.0,346.5,1027.8216585365853,-681.3216585365853,-66.28792581649355,2
1091,6,Kuwait,KWD,379.9,1234.675,,,,1
1092,6,Kuwait,KWD,329.9,1072.175,,,,1
1093,6,Kuwait,KWD,289.9,942.175,,,,1
1094,6,Kuwait,KWD,259.9,844.675,,,,1
Apple iPhone 15,6,Kuwait,KWD,249.9,812.1750000000001,,,,6
Apple iPhone 15 Plus,6,Kuwait,KWD,279.9,909.675,,,,6
Apple iPhone 15 Pro,6,Kuwait,KWD,319.9,1039.675,,,,6
Apple iPhone 15 Pro Max,6,Kuwait,KWD,369.9,1202.175,,,,6
Apple iPhone 16,6,Kuwait,KWD,299.9,974.675,,,,6
Apple iPhone 16 Plus,6,Kuwait,KWD,319.9,1039.675,,,,6
Apple iPhone 16 Pro,6,Kuwait,KWD,359.9,1169.675,,,,6
Apple iPhone 16 Pro Max,6,Kuwait,KWD,409.9,1332.175,,,,6
Samsung Galaxy S24,6,Kuwait,KWD,249.9,812.1750000000001,,,,6
Samsung Galaxy S24 FE,6,Kuwait,KWD,179.9,584.6750000000001,,,,6
Samsung Galaxy S24 Ultra,6,Kuwait,KWD,329.9,1072.175,,,,6
Samsung Galaxy S24+,6,Kuwait,KWD,279.9,909.675,,,,6
Samsung Galaxy S25,6,Kuwait,KWD,269.9,877.175,,,,6
Samsung Galaxy S25 Ultra,6,Kuwait,KWD,369.9,1202.175,,,,6
Samsung Galaxy S25+,6,Kuwait,KWD,299.9,974.675,,,,6
